Alt Kategori,description,mpn,quantity,link
CAP ALUMINUM,CAP ALUM 47UF 20% 25V SMD,UUD1E470MCL1GS,4,https://www.digikey.com/en/products/detail/nichicon/UUD1E470MCL1GS/590014
CAP ALUMINUM,CAP.EL.22uF 50V 6.3x5.8 105C 10000H AEC-Q200 SMT,EEHZA1H220P,27,https://www.ozdisan.com/p/Aluminum-Capacitors-180/panasoniceurope-eehza1h220p-1098116
CAP ALUMINUM,CAP ALUM 470UF 20% 6.3V SMD,EEE-FK0J471AL,4,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEE-FK0J471AL/12459494
CAP ALUMINUM,CAP ALUM 47UF 20% 25V SMD,UWT1E470MCL6GS,27,https://www.digikey.com/en/products/detail/nichicon/UWT1E470MCL6GS/2550848
CAP ALUMINUM,CAP ALUM POLY 100UF 20% 25V SMD,25SVPF100M,27,https://www.digikey.com/en/products/detail/panasonic-electronic-components/25SVPF100M/4209272?gclsrc=aw.ds&gad_source=1&gad_campaignid=21513785267&gclid=Cj0KCQjw18bEBhCBARIsAKuAFEaizVkQoc1mV2KI1LKHCQ4tuOb6jWtilrX6FBO6AZbv5jGNLC2LrFwaAorGEALw_wcB
CAP ALUMINUM,CAP ALUMHYB 100UF 20% 50V SMD,HHXC500ARA101MJA0G,29,https://www.digikey.com/en/products/detail/chemi-con/HHXC500ARA101MJA0G/6928178
CAP 0201,CAP CER 330PF 50V X7R 0201,GRM033R71H331KA12D,16,https://www.digikey.com/en/products/detail/murata-electronics/GRM033R71H331KA12D/4904776
CAP 0402,CAP CER 50V 56pF,04025A560KAT2A,100,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/04025A560KAT2A?qs=fSLU0bP6gkdlqpfkJNQhxA%3D%3D&srsltid=AfmBOoqlkZgwqB2rBOxywZt8nVRZvtz6ZUkE7UhwFkOFi7CWWwdRn3fZ
CAP 0402,CAP CER 0.047UF 25V X7R 0402,GRM155R71E473KA88D,17,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R71E473KA88D/702519
CAP 0402,"CAP CER 0.5 pF, 50 V, S Series, ± 0.05pF, 125 °C, 0402",500R07S0R5AV4T,47,https://in.element14.com/johanson-technology/500r07s0r5av4t/cap-0-5pf-50v-c0g-np0-0402/dp/1885289?srsltid=AfmBOoq0L4b2tB5-3raGGO_jcco0ylehCFyIm-RE_bOVEuS76xgVQDMQ
